z_mid,nz,nz_error
-195.0,836,28.91366458960192
-185.0,1008,31.74901573277509
-175.0,1098,33.13608305156178
-165.0,1252,35.38361202590826
-155.0,1422,37.70941526992961
-145.0,1679,40.97560249709576
-135.0,1885,43.41658669218482
-125.0,2171,46.593991028886975
-115.0,2381,48.79549159502341
-105.0,2585,50.84289527554464
-95.0,2874,53.60970061472084
-85.0,3234,56.868268832451726
-75.0,3510,59.2452529743945
-65.0,3725,61.032778078668514
-55.0,4082,63.89053137985315
-45.0,4271,65.35288822997802
-35.0,4712,68.64400920692205
-25.0,4949,70.34912934784623
-15.0,4867,69.76388750635962
-5.0,5090,71.34423592694787
5.0,5087,71.32320800412724
15.0,4863,69.73521348644456
25.0,4728,68.76045375068433
35.0,4708,68.61486719363377
45.0,4405,66.37017402418047
55.0,3986,63.13477647065839
65.0,3746,61.204574992397426
75.0,3361,57.97413216254298
85.0,3136,56.0
95.0,2793,52.848841046895245
105.0,2538,50.37856687124
115.0,2318,48.14561246884289
125.0,2062,45.40925015897091
135.0,1766,42.02380277890139
145.0,1556,39.44616584663204
155.0,1454,38.13135192987524
165.0,1265,35.566838487557476
175.0,1125,33.54101966249684
185.0,969,31.12876483254676
195.0,844,29.0516780926679
